open_ms,open,high,low,close
1777451651000,76998.63,76998.63,76998.63,76998.63
1777451652000,76998.63,76998.64,76998.63,76998.64
1777451653000,76998.63,76998.64,76998.63,76998.64
1777451654000,76998.64,76998.64,76998.63,76998.63
1777451655000,76998.63,76998.63,76998.63,76998.63
1777451656000,76998.63,76998.64,76998.63,76998.64
1777451657000,76998.63,76998.64,76998.63,76998.64
1777451658000,76998.63,76998.64,76998.63,76998.64
1777451659000,76998.64,76998.64,76998.63,76998.63
1777451660000,76998.63,76998.63,76998.63,76998.63
1777451661000,76998.64,76998.64,76998.63,76998.63
1777451662000,76998.63,76998.63,76998.63,76998.63
1777451663000,76998.63,76998.63,76998.63,76998.63
1777451664000,76998.63,76998.63,76998.63,76998.63
1777451665000,76998.63,76998.64,76998.63,76998.63
1777451666000,76998.63,76998.64,76998.63,76998.63
1777451667000,76998.64,76998.64,76998.63,76998.64
1777451668000,76998.64,76998.64,76998.63,76998.63
1777451669000,76998.64,76998.64,76998.63,76998.63
1777451670000,76998.63,76998.63,76998.63,76998.63
1777451671000,76998.63,76998.64,76998.63,76998.64
1777451672000,76998.63,76998.63,76998.63,76998.63
1777451673000,76998.64,76998.64,76998.64,76998.64
1777451674000,76998.63,76998.63,76998.63,76998.63
1777451675000,76998.63,76998.64,76998.63,76998.64
1777451676000,76998.63,76998.63,76998.63,76998.63
1777451677000,76998.64,76998.64,76998.63,76998.63
1777451678000,76998.63,76998.63,76998.63,76998.63
1777451679000,76998.63,76998.63,76998.63,76998.63
1777451680000,76998.64,76998.64,76998.63,76998.63
1777451681000,76998.64,76998.64,76998.64,76998.64
1777451682000,76998.64,76998.64,76998.63,76998.63
1777451683000,76998.63,76998.63,76998.63,76998.63
1777451684000,76998.63,76998.64,76998.63,76998.63
1777451685000,76998.63,76998.63,76998.63,76998.63
1777451686000,76998.63,76998.64,76998.63,76998.63
1777451687000,76998.63,76998.63,76998.63,76998.63
1777451688000,76998.64,76998.64,76998.63,76998.64
1777451689000,76998.63,76998.64,76998.63,76998.63
1777451690000,76998.64,76998.64,76998.63,76998.64
1777451691000,76998.63,76998.63,76998.63,76998.63
1777451692000,76998.64,76998.64,76998.63,76998.63
1777451693000,76998.63,76998.64,76998.63,76998.64
1777451694000,76998.64,76998.64,76998.63,76998.63
1777451695000,76998.64,76998.64,76998.63,76998.63
1777451696000,76998.64,76998.64,76998.64,76998.64
1777451697000,76998.64,76998.64,76998.63,76998.63
1777451698000,76998.63,76998.63,76998.63,76998.63
1777451699000,76998.63,76998.64,76998.63,76998.64
1777451700000,76998.63,76998.64,76998.63,76998.64
1777451701000,76998.64,77004.26,76998.64,77004.26
1777451702000,77004.26,77004.26,77004.26,77004.26
1777451703000,77004.27,77004.27,77004.27,77004.27
1777451704000,77004.27,77004.27,77004.27,77004.27
1777451705000,77004.27,77004.27,77004.27,77004.27
1777451706000,77004.26,77004.27,77004.26,77004.26
1777451707000,77004.26,77004.26,77004.26,77004.26
1777451708000,77004.26,77004.27,77004.26,77004.27
1777451709000,77004.27,77004.27,77004.27,77004.27
1777451710000,77004.26,77004.27,77004.26,77004.27
1777451711000,77004.27,77004.27,77004.27,77004.27
1777451712000,77004.27,77004.27,77004.27,77004.27
1777451713000,77004.26,77004.26,77004.26,77004.26
1777451714000,77004.26,77004.26,77004.26,77004.26
1777451715000,77004.26,77004.26,77004.26,77004.26
1777451716000,77004.27,77004.27,77004.26,77004.26
1777451717000,77004.27,77004.27,77004.26,77004.26
1777451718000,77004.27,77004.27,77004.26,77004.26
1777451719000,77004.26,77004.26,77004.26,77004.26
1777451720000,77004.26,77004.27,77004.26,77004.27
1777451721000,77004.27,77004.27,77004.27,77004.27
1777451722000,77004.26,77004.27,77004.26,77004.27
1777451723000,77004.27,77004.27,77004.26,77004.26
1777451724000,77004.26,77004.26,77004.26,77004.26
1777451725000,77004.26,77004.26,77004.26,77004.26
1777451726000,77004.27,77004.27,77004.26,77004.27
1777451727000,77004.26,77004.27,77004.26,77004.27
1777451728000,77004.27,77004.27,77004.27,77004.27
1777451729000,77004.27,77004.27,77004.26,77004.26
1777451730000,77004.27,77004.27,77004.26,77004.26
1777451731000,77004.26,77004.27,77004.26,77004.27
1777451732000,77004.26,77004.26,77004.26,77004.26
1777451733000,77004.26,77004.27,77004.26,77004.27
1777451734000,77004.27,77004.27,77004.26,77004.26
1777451735000,77004.27,77004.27,77004.27,77004.27
1777451736000,77004.27,77004.27,77004.26,77004.26
1777451737000,77004.26,77004.26,77004.26,77004.26
1777451738000,77004.26,77004.26,77004.26,77004.26
1777451739000,77004.27,77004.27,77004.27,77004.27
1777451740000,77004.27,77004.27,77004.27,77004.27
1777451741000,77004.27,77004.27,77004.27,77004.27
1777451742000,77004.26,77004.27,77004.26,77004.27
1777451743000,77004.26,77004.27,77004.26,77004.27
1777451744000,77004.27,77004.27,77004.27,77004.27
1777451745000,77004.26,77004.26,77004.26,77004.26
1777451746000,77004.26,77004.26,77004.26,77004.26
1777451747000,77004.26,77004.26,76998.63,76998.63
1777451748000,76998.63,76998.64,76998.63,76998.63
1777451749000,76998.63,76998.64,76998.63,76998.63
1777451750000,76998.63,76998.63,76972.32,76976.27
1777451751000,76976.27,76976.28,76976.27,76976.27
1777451752000,76976.27,76976.28,76976.27,76976.27
1777451753000,76976.27,76976.27,76976.27,76976.27
1777451754000,76976.28,77015.38,76976.28,76992.62
1777451755000,76992.62,76992.63,76992.62,76992.63
1777451756000,76992.62,76992.62,76992.62,76992.62
1777451757000,76992.62,76993.64,76992.62,76993.64
1777451758000,76993.88,76993.88,76993.88,76993.88
1777451759000,76993.89,77000.28,76993.89,77000.28
1777451760000,77000.29,77000.29,77000.29,77000.29
1777451761000,77000.29,77000.29,77000.29,77000.29
1777451762000,77000.3,77035.5,77000.3,77014
1777451763000,77014,77014,77014,77014
1777451764000,77014.01,77014.01,77014.01,77014.01
1777451765000,77014.01,77018.29,77014.01,77018.29
1777451766000,77018.29,77018.29,77018.29,77018.29
1777451767000,77018.3,77018.3,77018.29,77018.3
1777451768000,77018.29,77018.29,77018.29,77018.29
1777451769000,77018.3,77018.3,77010.34,77010.34
1777451770000,77010.33,77010.33,77006.57,77006.58
1777451771000,77006.57,77006.58,77006.57,77006.58
1777451772000,77006.58,77021.24,77006.58,77021.22
1777451773000,77021.22,77021.22,77021.22,77021.22
1777451774000,77021.23,77021.23,77021.22,77021.22
1777451775000,77021.22,77021.23,77021.22,77021.22
1777451776000,77021.22,77021.23,77021.22,77021.23
1777451777000,77021.23,77021.23,77021.23,77021.23
1777451778000,77021.22,77021.22,77021.22,77021.22
1777451779000,77021.23,77021.23,77021.23,77021.23
1777451780000,77021.23,77021.23,77021.23,77021.23
1777451781000,77021.22,77021.22,77021.22,77021.22
1777451782000,77021.22,77021.22,77021.22,77021.22
1777451783000,77021.21,77021.22,77021.21,77021.22
1777451784000,77021.21,77021.22,77021.21,77021.22
1777451785000,77021.21,77021.21,77021.21,77021.21
1777451786000,77021.21,77021.21,77021.21,77021.21
1777451787000,77021.22,77021.22,77021.21,77021.22
1777451788000,77021.22,77021.22,77021.22,77021.22
1777451789000,77021.22,77021.22,77021.22,77021.22
1777451790000,77021.21,77021.22,77021.21,77021.21
1777451791000,77021.21,77021.21,77021.21,77021.21
1777451792000,77021.21,77021.21,77012.95,77012.95
1777451793000,77012.95,77012.95,77012.95,77012.95
1777451794000,77012.95,77012.96,77012.95,77012.96
1777451795000,77012.96,77012.96,77012.96,77012.96
1777451796000,77012.95,77012.95,77012.95,77012.95
